id,property_type,address,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming pool,garden,air_conditioning ,heating,log_price,city-neighborhood
104302788,Flat / apartment,calle de Tarent,El Besòs,Barcelona,67200.0,51,3,1,0,1960.0,True,False,False,True,True,False,False,False,False,False,True,11.1154434073529,Barcelona - El Besòs
104349529,Flat / apartment,calle de Bailèn,Vila de Gràcia,Barcelona,379000.0,59,2,1,2,1928.0,True,True,False,True,True,False,False,False,False,True,True,12.84529412258351,Barcelona - Vila de Gràcia
103148156,Flat / apartment,calle d'Entença,Sant Antoni,Barcelona,369000.0,80,3,1,5,1963.0,True,True,False,False,True,False,False,False,False,True,True,12.818554633046093,Barcelona - Sant Antoni
103120454,Penthouse,calle Víctor Balaguer,La Salut,Badalona,150000.0,93,4,2,3,1987.0,True,False,True,True,True,False,False,False,False,True,False,11.918397239722838,Badalona - La Salut
103811503,Flat / apartment,salvà,El Poble Sec - Parc de Montjuïc,Barcelona,213000.0,70,3,1,2,1900.0,True,False,False,True,True,True,False,False,False,False,False,12.269052139516225,Barcelona - El Poble Sec - Parc de Montjuïc
104186746,Flat / apartment,Huelva,Sant Martí de Provençals,Barcelona,220000.0,65,3,1,1,1965.0,True,True,False,False,True,False,False,False,False,False,False,12.301387370778713,Barcelona - Sant Martí de Provençals
102670176,Flat / apartment,calle de Lepanto,La Sagrada Família,Barcelona,330000.0,78,4,1,3,1938.0,True,True,False,True,True,True,False,False,False,False,True,12.706850963741102,Barcelona - La Sagrada Família
101340492,Flat / apartment,"calle de Carreras, 6",Pedralbes,Barcelona,850000.0,140,4,2,1,1990.0,True,True,True,True,True,False,True,False,False,True,True,13.652992804936396,Barcelona - Pedralbes
104202819,Flat / apartment,La Vall d'Hebron - La Clota,Horta Guinardó,Barcelona,269900.0,58,3,1,6,1968.0,True,True,False,True,True,False,False,False,False,True,True,12.505810504075184,Barcelona - Horta Guinardó
102593618,Flat / apartment,ronda del General Mitre,Sant Gervasi - La Bonanova,Barcelona,990000.0,200,4,3,4,1957.0,True,True,True,True,True,False,False,False,False,True,True,13.805461232211272,Barcelona - Sant Gervasi - La Bonanova
