"Longitude","Latitude","Type"
2.149504,41.419877,"Metro"
2.148073,41.423133,"Metro"
2.148521,41.421974,"Metro"
2.144952,41.384126,"Metro"
2.146075,41.384981,"Metro"
2.145606,41.384454,"Metro"
2.078917,41.357389,"Metro"
2.079,41.35807,"Metro"
2.078904,41.357707,"Metro"
2.158742,41.429811,"Metro"
2.160483,41.42973,"Metro"
2.161228,41.430042,"Metro"
2.161178,41.429762,"Metro"
2.15177,41.388946,"Metro"
2.150676,41.388476,"Metro"
2.15029,41.388226,"Metro"
2.150984,41.389033,"Metro"
2.186579,41.422021,"Metro"
2.186897,41.421556,"Metro"
2.176558,41.425638,"Metro"
2.1759,41.425733,"Metro"
2.176475,41.425869,"Metro"
2.135849,41.375429,"Metro"
2.135034,41.375491,"Metro"
2.13548,41.375444,"Metro"
2.106775,41.373558,"Metro"
2.107033,41.37329,"Metro"
2.107647,41.374015,"Metro"
2.108251,41.37406,"Metro"
2.174231,41.404606,"Metro"
2.173357,41.403512,"Metro"
2.173076,41.403762,"Metro"
2.173877,41.404117,"Metro"
2.083994,41.362753,"Metro"
2.084164,41.363278,"Metro"
2.084574,41.36329,"Metro"
2.175393,41.410166,"Metro"
2.176264,41.411214,"Metro"
2.176324,41.411021,"Metro"
2.139739,41.379602,"Metro"
2.139294,41.379699,"Metro"
2.141445,41.425067,"Metro"
2.167494,41.399121,"Metro"
2.166277,41.398676,"Metro"
2.166728,41.398769,"Metro"
2.166992,41.430601,"Metro"
2.168457,41.430572,"Metro"
2.16701,41.430319,"Metro"
2.16776,41.430824,"Metro"
2.175568,41.429214,"Metro"
2.174603,41.430476,"Metro"
2.174133,41.430266,"Metro"
2.174845,41.429404,"Metro"
2.174875,41.429732,"Metro"
2.205212,41.436173,"Metro"
2.204794,41.436065,"Metro"
2.186242,41.42096,"Metro"
2.193133,41.429748,"Metro"
2.210131,41.444246,"Metro"
2.19855,41.457253,"Metro"
2.212413,41.454503,"Metro"
2.215908,41.446684,"Metro"
2.20578,41.459366,"Metro"
2.1076809,41.3833622,"Diagonal"
2.1095691,41.3838774,"Diagonal"
2.1112857,41.3843926,"Diagonal"
2.1129165,41.3849078,"Diagonal"
2.1151481,41.3853586,"Diagonal"
2.1169506,41.3857127,"Diagonal"
2.1186243,41.3861635,"Diagonal"
2.1200405,41.3866787,"Diagonal"
2.1217142,41.3870973,"Diagonal"
2.1234737,41.3874514,"Diagonal"
2.1255336,41.3879344,"Diagonal"
2.1272932,41.3884495,"Diagonal"
2.1293102,41.3889647,"Diagonal"
2.1317564,41.3895442,"Diagonal"
2.1333871,41.3899628,"Diagonal"
2.1352754,41.3904135,"Diagonal"
2.1370779,41.3909931,"Diagonal"
2.1394382,41.391476,"Diagonal"
2.1419702,41.3919911,"Diagonal"
2.1446095,41.3929248,"Diagonal"
2.1469699,41.3934721,"Diagonal"
2.1490298,41.3940838,"Diagonal"
2.1517335,41.3945345,"Diagonal"
2.1529588,41.3949042,"Diagonal"
2.1543964,41.3952744,"Diagonal"
2.1555015,41.3955722,"Diagonal"
2.1565208,41.3958539,"Diagonal"
2.1575615,41.3960873,"Diagonal"
2.1582588,41.3963207,"Diagonal"
2.1590742,41.3964978,"Diagonal"
2.1602758,41.3967875,"Diagonal"
2.1613005,41.397029,"Diagonal"
2.1597072,41.396707,"Diagonal"
2.1620998,41.3971819,"Diagonal"
2.162899,41.3974072,"Diagonal"
2.1637574,41.3976084,"Diagonal"
2.164562,41.3977694,"Diagonal"
2.1653989,41.398043,"Diagonal"
2.1663215,41.3982845,"Diagonal"
2.1671048,41.3984857,"Diagonal"
2.1678343,41.3986949,"Diagonal"
2.168639,41.3988961,"Diagonal"
2.1694651,41.3991134,"Diagonal"
2.1706614,41.3993146,"Diagonal"
2.171525,41.3995882,"Diagonal"
2.1725228,41.3998377,"Diagonal"
2.1735957,41.4000792,"Diagonal"
2.1743253,41.4003447,"Diagonal"
2.175205,41.4004896,"Diagonal"
2.1765569,41.4008276,"Diagonal"
2.1774152,41.4011012,"Diagonal"
2.1783218,41.4013105,"Diagonal"
2.1794751,41.4016002,"Diagonal"
2.1804407,41.4017772,"Diagonal"
2.1818676,41.4021796,"Diagonal"
2.1828761,41.4024371,"Diagonal"
2.1838203,41.4026946,"Diagonal"
